id_municipio,id_municipio_tse
2928208,38652
2906105,34215
2908101,34614
2917359,30678
2929057,38822
2928109,38636
2909307,34851
2909109,34819
2909901,34975
2926004,38210
2930774,39985
2907202,34436
2905909,34177
2924405,37893
2918407,36692
2930204,39039
2924009,37818
2900207,33030
2927101,38431
2919900,36994
2907707,34533
2911402,35270
2915353,36080
2904753,30791
2913200,35653
2902708,33537
2922250,37460
2933604,39713
2921609,37338
2910776,35149
2907103,34410
2903904,33774
2930758,39144
2930154,39047
2923704,37753
2924603,37931
2901809,33359
2930105,39012
2906006,34193
2901353,33260
2917706,36552
2917003,36412
2910859,30910
2932457,39489
2907608,34517
2918357,30996
2919157,39730
2913101,35637
2903003,33596
2932408,39470
2922052,37427
2903235,30759
2906204,34231
2901155,30716
2905305,34053
2914604,35939
2912400,35475
2929255,39896
2925600,38130
2918506,36714
2911303,35254
2930808,39152
2914406,35890
2921708,37354
2925253,38067
2924801,37974
2923357,37680
2906873,30830
2929800,38954
2921203,37257
2921401,37290
2933109,39616
2929370,38865
2925931,39845
2917508,36510
2905107,34010
2905503,34096
2933158,39950
2930600,39110
2902609,33510
2919603,36935
2920106,37036
2933059,39977
2922102,37435
2931301,39250
2914703,35955
2927200,38458
2912608,35530
2919009,36811
2911907,35378
2903805,33758
2924108,37834
2931400,39276
2910305,35050
2916856,36382
2928505,38695
2914505,35912
2927507,38512
2928307,38679
2908507,34690
2908200,34630
2901502,33294
2914000,35815
2924652,39837
2925956,39853
2928802,38750
2901700,33332
2930402,39071
2913804,35777
2910800,35157
2929305,38857
2900405,33073
2923308,37672
2931103,39217
2908903,34770
2927606,38539
2930766,39900
2909208,34835
2918100,36633
2924207,37850
2932002,39390
2931905,39373
2925907,38199
2906808,34355
2906824,30856
2910701,35130
2921500,37311
2925808,38172
2922656,39799
2916500,36315
2907905,34576
2902658,33529
2926509,38318
2923100,37630
2926608,38334
2922904,37591
2910750,30899
2907806,34550
2900355,33065
2923803,37770
2901601,33316
2911857,30970
2923050,37621
2922730,37567
2926301,38270
2913309,35670
